machine_id,sequence_id,wrow,wcol,scan_position,tag,rlu,rlu.rq,timestamp,filename,plate_number,types,sample_id,dilution,bleed,treatment,virus,experiment_id,neutralisation,exclude
1234567,0,C,10,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,C,11,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,C,12,NA,NA,1010,ValidSlopeSaturation,NA,NA,1,m,mAb (4F8),2000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,99.9889249647906,FALSE
1234567,0,D,1,NA,NA,5418000,ValidSlopeSaturation,NA,NA,1,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,0,FALSE
1234567,0,D,2,NA,NA,5202000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,320,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,3.9870126753778,FALSE
1234567,0,D,3,NA,NA,5730000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,320,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-5.75901830887904,FALSE
1234567,0,D,4,NA,NA,6804000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,320,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-25.5833313336742,FALSE
1234567,0,D,5,NA,NA,6248000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,320,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-15.3204653729795,FALSE
1234567,0,D,6,NA,NA,5860000,ValidSlopeSaturation,NA,NA,1,x,Mouse 3,320,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-8.15860927091197,FALSE
1234567,0,D,7,NA,NA,6005000,ValidSlopeSaturation,NA,NA,1,x,Mouse 3,320,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-10.8350761131795,FALSE
1234567,0,D,8,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,D,9,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,D,10,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,D,11,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,D,12,NA,NA,79350,ValidSlopeSaturation,NA,NA,1,m,mAb (4F8),4000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,98.5428945342855,FALSE
1234567,0,E,1,NA,NA,5621000,ValidSlopeSaturation,NA,NA,1,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,-3.7470535791745,FALSE
1234567,0,E,2,NA,NA,5826000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,640,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-7.53102394238028,FALSE
1234567,0,E,3,NA,NA,5777000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,640,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-6.62656273361402,FALSE
1234567,0,E,4,NA,NA,5763000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,640,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-6.36814524539509,FALSE
1234567,0,E,5,NA,NA,5744000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,640,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-6.01743579709797,FALSE
1234567,0,E,6,NA,NA,5852000,ValidSlopeSaturation,NA,NA,1,x,Mouse 3,640,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-8.01094213478687,FALSE
1234567,0,E,7,NA,NA,6204000,ValidSlopeSaturation,NA,NA,1,x,Mouse 3,640,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-14.5082961242914,FALSE
1234567,0,E,8,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,E,9,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,E,10,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,E,11,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,E,12,NA,NA,318300,ValidSlopeSaturation,NA,NA,1,m,mAb (4F8),8000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,94.1322617621488,FALSE
1234567,0,F,1,NA,NA,590,ValidSlopeSaturation,NA,NA,1,c,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,99.9966774894372,FALSE
1234567,0,F,2,NA,NA,6335000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,1280,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-16.92634547834,FALSE
1234567,0,F,3,NA,NA,5625000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,1280,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-3.82088714723706,FALSE
1234567,0,F,4,NA,NA,5548000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,1280,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-2.39959096203293,FALSE
1234567,0,F,5,NA,NA,6468000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,1280,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-19.3813116164198,FALSE
1234567,0,F,6,NA,NA,6873000,ValidSlopeSaturation,NA,NA,1,x,Mouse 3,1280,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-26.8569603827532,FALSE
1234567,0,F,7,NA,NA,6323000,ValidSlopeSaturation,NA,NA,1,x,Mouse 3,1280,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-16.7048447741523,FALSE
1234567,0,F,8,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,F,9,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,F,10,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,F,11,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,F,12,NA,NA,798900,ValidSlopeSaturation,NA,NA,1,m,mAb (4F8),16000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,85.2611585594333,FALSE
1234567,0,G,1,NA,NA,320,ValidSlopeSaturation,NA,NA,1,c,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,100.001661255281,FALSE
1234567,0,G,2,NA,NA,6263000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-15.5973412532141,FALSE
1234567,0,G,3,NA,NA,6427000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-18.6245175437787,FALSE
1234567,0,G,4,NA,NA,6542000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-20.7472326255771,FALSE
1234567,0,G,5,NA,NA,6226000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-14.9143807486355,FALSE
1234567,0,G,6,NA,NA,6224000,ValidSlopeSaturation,NA,NA,1,x,Mouse 3,2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-14.8774639646042,FALSE
1234567,0,G,7,NA,NA,6557000,ValidSlopeSaturation,NA,NA,1,x,Mouse 3,2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-21.0241085058116,FALSE
1234567,0,G,8,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,G,9,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,G,10,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,G,11,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,G,12,NA,NA,1262000,ValidSlopeSaturation,NA,NA,1,m,mAb (4F8),32000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,76.7130772169913,FALSE
1234567,0,H,1,NA,NA,410,ValidSlopeSaturation,NA,NA,1,c,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,100,FALSE
1234567,0,H,2,NA,NA,5818000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-7.38335680625518,FALSE
1234567,0,H,3,NA,NA,5719000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-5.55597599670702,FALSE
1234567,0,H,4,NA,NA,6123000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-13.0131663710248,FALSE
1234567,0,H,5,NA,NA,5672000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-4.68843157197204,FALSE
1234567,0,H,6,NA,NA,6630000,ValidSlopeSaturation,NA,NA,1,x,Mouse 3,5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-22.3715711229532,FALSE
1234567,0,H,7,NA,NA,5577000,ValidSlopeSaturation,NA,NA,1,x,Mouse 3,5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-2.93488433048643,FALSE
