wrow,wcol,rlu,filename,plate_number,types,sample_id,dilution,bleed,treatment,virus,experiment_id,neutralisation,exclude
B,2,634300,NA,3,x,Mouse 8,80,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-3.67845407,FALSE
B,3,464000,NA,3,x,Mouse 8,80,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,24.16335606,FALSE
B,4,580100,NA,3,x,Mouse 9,80,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,5.18253307,FALSE
B,5,591300,NA,3,x,Mouse 9,80,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,3.35148037,FALSE
B,6,776800,NA,3,x,Mouse 10,80,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-26.97532983,FALSE
B,7,569400,NA,3,x,Mouse 10,80,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,6.93184233,FALSE
B,8,633500,NA,3,x,Mouse 11,80,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-3.54766459,FALSE
B,9,509300,NA,3,x,Mouse 11,80,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,16.75740187,FALSE
B,10,502100,NA,3,x,Mouse 12,80,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,17.93450717,FALSE
B,11,817900,NA,3,x,Mouse 12,80,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-33.69463927,FALSE
B,12,190,NA,3,m,mAb (4F8),1000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,99.99019079,FALSE
C,1,575100,NA,3,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,5.99996730,FALSE
C,2,470300,NA,3,x,Mouse 8,160,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,23.13338892,FALSE
C,3,533800,NA,3,x,Mouse 8,160,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,12.75197410,FALSE
C,4,791900,NA,3,x,Mouse 9,160,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-29.44398123,FALSE
C,5,755200,NA,3,x,Mouse 9,160,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-23.44401393,FALSE
C,6,962300,NA,3,x,Mouse 10,160,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-57.30214004,FALSE
C,7,586300,NA,3,x,Mouse 10,160,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,4.16891461,FALSE
C,8,659700,NA,3,x,Mouse 11,160,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-7.83101999,FALSE
C,9,596100,NA,3,x,Mouse 11,160,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,2.56674351,FALSE
C,10,632700,NA,3,x,Mouse 12,160,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-3.41687511,FALSE
C,11,798300,NA,3,x,Mouse 12,160,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-30.49029706,FALSE
C,12,110,NA,3,m,mAb (4F8),2000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,100.00326974,FALSE
D,1,655600,NA,3,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,-7.16072392,FALSE
D,2,699500,NA,3,x,Mouse 8,320,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-14.33779652,FALSE
D,3,622600,NA,3,x,Mouse 8,320,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-1.76565795,FALSE
D,4,612600,NA,3,x,Mouse 9,320,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-0.13078948,FALSE
D,5,567400,NA,3,x,Mouse 9,320,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,7.25881603,FALSE
D,6,681800,NA,3,x,Mouse 10,320,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-11.44407932,FALSE
D,7,522800,NA,3,x,Mouse 10,320,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,14.55032943,FALSE
D,8,638100,NA,3,x,Mouse 11,320,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-4.29970409,FALSE
D,9,469600,NA,3,x,Mouse 11,320,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,23.24782971,FALSE
D,10,563300,NA,3,x,Mouse 12,320,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,7.92911210,FALSE
D,11,768100,NA,3,x,Mouse 12,320,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-25.55299426,FALSE
D,12,150,NA,3,m,mAb (4F8),4000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,99.99673026,FALSE
E,1,611800,NA,3,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,0.00000000,FALSE
E,2,766600,NA,3,x,Mouse 8,640,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-25.30776399,FALSE
E,3,573300,NA,3,x,Mouse 8,640,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,6.29424363,FALSE
E,4,641200,NA,3,x,Mouse 9,640,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-4.80651332,FALSE
E,5,640700,NA,3,x,Mouse 9,640,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-4.72476989,FALSE
E,6,620800,NA,3,x,Mouse 10,640,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-1.47138163,FALSE
E,7,558100,NA,3,x,Mouse 10,640,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,8.77924371,FALSE
E,8,703600,NA,3,x,Mouse 11,640,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-15.00809260,FALSE
E,9,552800,NA,3,x,Mouse 11,640,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,9.64572400,FALSE
E,10,652500,NA,3,x,Mouse 12,640,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-6.65391469,FALSE
E,11,616000,NA,3,x,Mouse 12,640,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-0.68664476,FALSE
E,12,180,NA,3,m,mAb (4F8),8000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,99.99182566,FALSE
F,1,140,NA,3,c,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,99.99836513,FALSE
F,2,519000,NA,3,x,Mouse 8,1280,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,15.17157945,FALSE
F,3,740100,NA,3,x,Mouse 8,1280,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-20.97536253,FALSE
F,4,692500,NA,3,x,Mouse 9,1280,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-13.19338859,FALSE
F,5,735500,NA,3,x,Mouse 9,1280,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-20.22332303,FALSE
F,6,600300,NA,3,x,Mouse 10,1280,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,1.88009875,FALSE
F,7,646100,NA,3,x,Mouse 10,1280,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-5.60759887,FALSE
F,8,782600,NA,3,x,Mouse 11,1280,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-27.92355355,FALSE
F,9,701200,NA,3,x,Mouse 11,1280,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-14.61572416,FALSE
F,10,656500,NA,3,x,Mouse 12,1280,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-7.30786208,FALSE
F,11,642800,NA,3,x,Mouse 12,1280,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-5.06809227,FALSE
F,12,7703,NA,3,m,mAb (4F8),16000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,98.76191410,FALSE
G,1,130,NA,3,c,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,100.00000000,FALSE
G,2,642700,NA,3,x,Mouse 8,2560,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-5.05174359,FALSE
G,3,638900,NA,3,x,Mouse 8,2560,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-4.43049357,FALSE
G,4,520800,NA,3,x,Mouse 9,2560,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,14.87730312,FALSE
G,5,654600,NA,3,x,Mouse 9,2560,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-6.99723707,FALSE
G,6,782500,NA,3,x,Mouse 10,2560,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-27.90720487,FALSE
G,7,591300,NA,3,x,Mouse 10,2560,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,3.35148037,FALSE
G,8,525100,NA,3,x,Mouse 11,2560,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,14.17430968,FALSE
G,9,680400,NA,3,x,Mouse 11,2560,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-11.21519774,FALSE
G,10,599700,NA,3,x,Mouse 12,2560,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,1.97819085,FALSE
G,11,735000,NA,3,x,Mouse 12,2560,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-20.14157961,FALSE
G,12,121400,NA,3,m,mAb (4F8),32000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,80.17395001,FALSE
H,1,120,NA,3,c,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,100.00163487,FALSE
H,2,712600,NA,3,x,Mouse 8,5120,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-16.47947423,FALSE
H,3,756300,NA,3,x,Mouse 8,5120,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-23.62384946,FALSE
H,4,651000,NA,3,x,Mouse 9,5120,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-6.40868442,FALSE
H,5,461200,NA,3,x,Mouse 9,5120,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,24.62111923,FALSE
H,6,744100,NA,3,x,Mouse 10,5120,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-21.62930992,FALSE
H,7,872700,NA,3,x,Mouse 10,5120,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-42.65371851,FALSE
H,8,648200,NA,3,x,Mouse 11,5120,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,-5.95092125,FALSE
H,9,436200,NA,3,x,Mouse 11,5120,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,28.70829042,FALSE
H,10,330600,NA,3,x,Mouse 12,5120,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,45.97250151,FALSE
H,11,569100,NA,3,x,Mouse 12,5120,terminal,Bris/18,A/swine/Guangxi/1/2013 (H1N1),EX001,6.98088839,FALSE
H,12,258000,NA,3,m,mAb (4F8),64000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,57.84164664,FALSE
A,1,20700000,NA,4,v,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,12.40073592,FALSE
A,2,18310000,NA,4,x,Mouse 13,40,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,22.51601197,FALSE
A,3,17340000,NA,4,x,Mouse 13,40,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,26.62137506,FALSE
A,4,19960000,NA,4,x,Mouse 14,40,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,15.53266240,FALSE
A,5,20200000,NA,4,x,Mouse 14,40,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,14.51690246,FALSE
A,6,18150000,NA,4,x,Mouse 15,40,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,23.19318527,FALSE
A,7,18990000,NA,4,x,Mouse 15,40,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,19.63802548,FALSE
A,8,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
A,9,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
A,10,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
A,11,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
A,12,1430,NA,4,m,mAb (4F8),500,terminal,mAb (4F8),A/swine/Henan/SN10/2018 (H1N1),EX001,100.00397839,FALSE
B,1,23630000,NA,4,v,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,0.00000000,FALSE
B,2,17760000,NA,4,x,Mouse 13,80,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,24.84379517,FALSE
B,3,20350000,NA,4,x,Mouse 13,80,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,13.88205250,FALSE
B,4,21390000,NA,4,x,Mouse 14,80,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,9.48042609,FALSE
B,5,21130000,NA,4,x,Mouse 14,80,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,10.58083269,FALSE
B,6,18690000,NA,4,x,Mouse 15,80,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,20.90772540,FALSE
B,7,21840000,NA,4,x,Mouse 15,80,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,7.57587621,FALSE
B,8,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
B,9,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
B,10,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
B,11,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
B,12,5311,NA,4,m,mAb (4F8),1000,terminal,mAb (4F8),A/swine/Henan/SN10/2018 (H1N1),EX001,99.98755271,FALSE
C,1,23240000,NA,4,v,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,1.65060990,FALSE
C,2,19440000,NA,4,x,Mouse 13,160,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,17.73347560,FALSE
C,3,23040000,NA,4,x,Mouse 13,160,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,2.49707652,FALSE
C,4,22350000,NA,4,x,Mouse 14,160,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,5.41738634,FALSE
C,5,21140000,NA,4,x,Mouse 14,160,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,10.53850936,FALSE
C,6,22350000,NA,4,x,Mouse 15,160,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,5.41738634,FALSE
C,7,22380000,NA,4,x,Mouse 15,160,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,5.29041635,FALSE
C,8,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
C,9,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
C,10,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
C,11,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
C,12,4221,NA,4,m,mAb (4F8),2000,terminal,mAb (4F8),A/swine/Henan/SN10/2018 (H1N1),EX001,99.99216595,FALSE
D,1,23740000,NA,4,v,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,-0.46555664,FALSE
D,2,20550000,NA,4,x,Mouse 13,320,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,13.03558588,FALSE
D,3,20870000,NA,4,x,Mouse 13,320,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,11.68123929,FALSE
D,4,22270000,NA,4,x,Mouse 14,320,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,5.75597299,FALSE
D,5,21250000,NA,4,x,Mouse 14,320,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,10.07295273,FALSE
D,6,21800000,NA,4,x,Mouse 15,320,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,7.74516953,FALSE
D,7,22170000,NA,4,x,Mouse 15,320,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,6.17920629,FALSE
D,8,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
D,9,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
D,10,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
D,11,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
D,12,110100,NA,4,m,mAb (4F8),4000,terminal,mAb (4F8),A/swine/Henan/SN10/2018 (H1N1),EX001,99.54405076,FALSE
E,1,23690000,NA,4,v,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,-0.25393998,FALSE
E,2,18610000,NA,4,x,Mouse 13,640,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,21.24631205,FALSE
E,3,20790000,NA,4,x,Mouse 13,640,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,12.01982594,FALSE
E,4,21370000,NA,4,x,Mouse 14,640,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,9.56507276,FALSE
E,5,21810000,NA,4,x,Mouse 14,640,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,7.70284620,FALSE
E,6,20720000,NA,4,x,Mouse 15,640,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,12.31608926,FALSE
E,7,21940000,NA,4,x,Mouse 15,640,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,7.15264290,FALSE
E,8,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
E,9,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
E,10,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
E,11,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
E,12,494700,NA,4,m,mAb (4F8),8000,terminal,mAb (4F8),A/swine/Henan/SN10/2018 (H1N1),EX001,97.91629546,FALSE
F,1,2900,NA,4,c,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,99.99775686,FALSE
F,2,21660000,NA,4,x,Mouse 13,1280,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,8.33769616,FALSE
F,3,20880000,NA,4,x,Mouse 13,1280,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,11.63891596,FALSE
F,4,22220000,NA,4,x,Mouse 14,1280,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,5.96758964,FALSE
F,5,22240000,NA,4,x,Mouse 14,1280,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,5.88294298,FALSE
F,6,21860000,NA,4,x,Mouse 15,1280,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,7.49122955,FALSE
F,7,21480000,NA,4,x,Mouse 15,1280,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,9.09951612,FALSE
F,8,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
F,9,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
F,10,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
F,11,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
F,12,1770000,NA,4,m,mAb (4F8),16000,terminal,mAb (4F8),A/swine/Henan/SN10/2018 (H1N1),EX001,92.51880108,FALSE
G,1,2260,NA,4,c,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,100.00046556,FALSE
G,2,22510000,NA,4,x,Mouse 13,2560,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,4.74021305,FALSE
G,3,22140000,NA,4,x,Mouse 13,2560,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,6.30617629,FALSE
G,4,19960000,NA,4,x,Mouse 14,2560,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,15.53266240,FALSE
G,5,20720000,NA,4,x,Mouse 14,2560,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,12.31608926,FALSE
G,6,20440000,NA,4,x,Mouse 15,2560,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,13.50114252,FALSE
G,7,20380000,NA,4,x,Mouse 15,2560,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,13.75508250,FALSE
G,8,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
G,9,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
G,10,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
G,11,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
G,12,3273000,NA,4,m,mAb (4F8),32000,terminal,mAb (4F8),A/swine/Henan/SN10/2018 (H1N1),EX001,86.15760447,FALSE
H,1,2370,NA,4,c,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,100.00000000,FALSE
H,2,21380000,NA,4,x,Mouse 13,5120,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,9.52274943,FALSE
H,3,21170000,NA,4,x,Mouse 13,5120,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,10.41153937,FALSE
H,4,20780000,NA,4,x,Mouse 14,5120,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,12.06214927,FALSE
H,5,21250000,NA,4,x,Mouse 14,5120,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,10.07295273,FALSE
H,6,20020000,NA,4,x,Mouse 15,5120,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,15.27872241,FALSE
H,7,19100000,NA,4,x,Mouse 15,5120,terminal,PBS,A/swine/Henan/SN10/2018 (H1N1),EX001,19.17246884,FALSE
H,8,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
H,9,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
H,10,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
H,11,NA,NA,4,,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,NA,TRUE
H,12,6784000,NA,4,m,mAb (4F8),64000,terminal,mAb (4F8),A/swine/Henan/SN10/2018 (H1N1),EX001,71.29788303,FALSE
A,1,29250000,NA,5,v,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,10.68861591,FALSE
A,2,31330000,NA,5,x,Mouse 16,40,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,4.33652417,FALSE
A,3,30250000,NA,5,x,Mouse 16,40,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,7.63472565,FALSE
A,4,26930000,NA,5,x,Mouse 17,40,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,17.77364132,FALSE
A,5,25850000,NA,5,x,Mouse 17,40,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,21.07184280,FALSE
A,6,25010000,NA,5,x,Mouse 18,40,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,23.63711062,FALSE
A,7,26420000,NA,5,x,Mouse 18,40,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,19.33112535,FALSE
A,8,25620000,NA,5,x,Mouse 19,40,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,21.77423756,FALSE
A,9,26000000,NA,5,x,Mouse 19,40,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,20.61375926,FALSE
A,10,25980000,NA,5,x,Mouse 20,40,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,20.67483707,FALSE
A,11,24820000,NA,5,x,Mouse 20,40,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,24.21734977,FALSE
A,12,2310,NA,5,m,mAb (4F8),500,terminal,mAb (4F8),A/swine/Henan/SN10/2018 (H1N1),EX001,100.00785155,FALSE
B,1,31700000,NA,5,v,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,3.20658477,FALSE
B,2,34550000,NA,5,x,Mouse 16,80,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,-5.49700247,FALSE
B,3,32370000,NA,5,x,Mouse 16,80,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,1.16047830,FALSE
B,4,31000000,NA,5,x,Mouse 17,80,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,5.34430796,FALSE
B,5,31460000,NA,5,x,Mouse 17,80,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,3.93951844,FALSE
B,6,30790000,NA,5,x,Mouse 18,80,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,5.98562491,FALSE
B,7,31840000,NA,5,x,Mouse 18,80,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,2.77904014,FALSE
B,8,30780000,NA,5,x,Mouse 19,80,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,6.01616381,FALSE
B,9,29890000,NA,5,x,Mouse 19,80,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,8.73412615,FALSE
B,10,40510000,NA,5,x,Mouse 20,80,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,-23.69818842,FALSE
B,11,31170000,NA,5,x,Mouse 20,80,terminal,MI/15,A/swine/Henan/SN10/2018 (H1N1),EX001,4.82514661,FALSE
B,12,7013,NA,5,m,mAb (4F8),1000,terminal,mAb (4F8),A/swine/Henan/SN10/2018 (H1N1),EX001,99.99348911,FALSE
C,1,32750000,NA,5,v,,NA,terminal,NA,A/swine/Henan/SN10/2018 (H1N1),EX001,0.00000000,FALSE
