wrow,wcol,rlu,filename,plate_number,types,sample_id,dilution,bleed,treatment,virus,experiment_id,neutralisation,exclude
E,1,5621000,NA,1,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,-3.74705358,FALSE
E,2,5826000,NA,1,x,Mouse 1,640,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-7.53102394,FALSE
E,3,5777000,NA,1,x,Mouse 1,640,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-6.62656273,FALSE
E,4,5763000,NA,1,x,Mouse 2,640,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-6.36814525,FALSE
E,5,5744000,NA,1,x,Mouse 2,640,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-6.01743580,FALSE
E,6,5852000,NA,1,x,Mouse 3,640,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-8.01094213,FALSE
E,7,6204000,NA,1,x,Mouse 3,640,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-14.50829612,FALSE
E,8,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
E,9,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
E,10,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
E,11,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
E,12,318300,NA,1,m,mAb (4F8),8000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,94.13226176,FALSE
F,1,590,NA,1,c,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,99.99667749,FALSE
F,2,6335000,NA,1,x,Mouse 1,1280,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-16.92634548,FALSE
F,3,5625000,NA,1,x,Mouse 1,1280,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-3.82088715,FALSE
F,4,5548000,NA,1,x,Mouse 2,1280,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-2.39959096,FALSE
F,5,6468000,NA,1,x,Mouse 2,1280,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-19.38131162,FALSE
F,6,6873000,NA,1,x,Mouse 3,1280,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-26.85696038,FALSE
F,7,6323000,NA,1,x,Mouse 3,1280,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-16.70484477,FALSE
F,8,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
F,9,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
F,10,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
F,11,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
F,12,798900,NA,1,m,mAb (4F8),16000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,85.26115856,FALSE
G,1,320,NA,1,c,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,100.00166126,FALSE
G,2,6263000,NA,1,x,Mouse 1,2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-15.59734125,FALSE
G,3,6427000,NA,1,x,Mouse 1,2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-18.62451754,FALSE
G,4,6542000,NA,1,x,Mouse 2,2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-20.74723263,FALSE
G,5,6226000,NA,1,x,Mouse 2,2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-14.91438075,FALSE
G,6,6224000,NA,1,x,Mouse 3,2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-14.87746396,FALSE
G,7,6557000,NA,1,x,Mouse 3,2560,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-21.02410851,FALSE
G,8,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
G,9,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
G,10,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
G,11,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
G,12,1262000,NA,1,m,mAb (4F8),32000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,76.71307722,FALSE
H,1,410,NA,1,c,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,100.00000000,FALSE
H,2,5818000,NA,1,x,Mouse 1,5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-7.38335681,FALSE
H,3,5719000,NA,1,x,Mouse 1,5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-5.55597600,FALSE
H,4,6123000,NA,1,x,Mouse 2,5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-13.01316637,FALSE
H,5,5672000,NA,1,x,Mouse 2,5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-4.68843157,FALSE
H,6,6630000,NA,1,x,Mouse 3,5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-22.37157112,FALSE
H,7,5577000,NA,1,x,Mouse 3,5120,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-2.93488433,FALSE
H,8,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
H,9,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
H,10,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
H,11,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
H,12,1954000,NA,1,m,mAb (4F8),64000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,63.93986994,FALSE
A,1,519200,NA,2,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,7.23782972,FALSE
A,2,499000,NA,2,x,Mouse 4,40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,10.84780899,FALSE
A,3,287400,NA,2,x,Mouse 4,40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,48.66323540,FALSE
A,4,506500,NA,2,x,Mouse 5,40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,9.50747016,FALSE
A,5,265300,NA,2,x,Mouse 5,40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,52.61276717,FALSE
A,6,263200,NA,2,x,Mouse 6,40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,52.98806205,FALSE
A,7,463100,NA,2,x,Mouse 6,40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,17.26356423,FALSE
A,8,442100,NA,2,x,Mouse 7,40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,21.01651297,FALSE
A,9,395600,NA,2,x,Mouse 7,40,terminal,MI/15,A/swine/Guangxi/1/2013 (H1N1),EX001,29.32661377,FALSE
A,10,NA,NA,2,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
